,Links,Title,Price,Rating
0,,,,
1,https://www.airbnb.com/rooms/21373363?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Modern unit with a beautiful view,€ 18,4.83 (204)
2,https://www.airbnb.com/rooms/553911579414261753?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Alluring 1-Bd Paradise in the Heart of Waikiki,€ 18,4.85 (26)
3,https://www.airbnb.com/rooms/771704674205904781?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Spacious 1BDRM @ Waikiki Banyan with Free Parking!,€ 24,3.33 (3)
4,https://www.airbnb.com/rooms/789046240210225553?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Bed in Trendy 8 Bed Female Dorm (Women Only),€ 47,New
5,https://www.airbnb.com/rooms/593428445415409020?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,15A | Budget room for 1 in Honolulu!,€ 94,4.69 (16)
6,https://www.airbnb.com/rooms/45304874?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Studio With Great View & Price in Waikiki,€ 14,4.61 (44)
7,https://www.airbnb.com/rooms/9150540?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,B - Cozy Ocean View Studio ★ Kitchenette ★ LEGAL,€ 16,4.83 (188)
8,https://www.airbnb.com/rooms/730643097238676039?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Mountain & City View Hawaiian Monarch Studio | Full Kitchen | Pool, Hot Tub",€ 15,4.75 (4)
9,https://www.airbnb.com/rooms/27314098?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Our pride & joy awaits your presence. Take a peak!,€ 16,4.39 (70)
10,https://www.airbnb.com/rooms/814161143457161537?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Best Vacation At Palms Waikiki with free Parking,€ 16,New
11,https://www.airbnb.com/rooms/14919677?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,★Superhost★ Brand New Chic Studio | Waikiki,€ 21,4.95 (58)
12,https://www.airbnb.com/rooms/577138586222164774?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,A Block away to Waikiki Beach/Pool/Free Parking,€ 31,5.0 (10)
13,https://www.airbnb.com/rooms/785605112975140009?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,22nd FL-Bright & Cozy 1BR APT-Central Waikiki~,€ 27,New
14,https://www.airbnb.com/rooms/735881112644978650?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,1Bedroom Beautiful Mountain View at Waikiki Sunset,€ 21,4.75 (4)
15,https://www.airbnb.com/rooms/53204161?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Waikiki 1BR W/Kitchen, Max 4! Stay W/Family etc.",€ 18,4.67 (18)
16,https://www.airbnb.com/rooms/817647824232504595?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,New Renovated Studio in Waikiki,€ 19,New
17,https://www.airbnb.com/rooms/41819627?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ala Moana Hotelcondo 1608 Studio City & Partial Ocean View - 1K,€ 21,5.0 (6)
18,https://www.airbnb.com/rooms/36595279?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"IOP613 Your Island Paradise, Kitchen Wi-Fi & Pool",€ 22,4.89 (18)
19,https://www.airbnb.com/rooms/41018679?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,2 min from World famous Waikiki Beach &  改装(2016),€ 16,4.11 (19)
20,https://www.airbnb.com/rooms/766084004640389706?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Ilikai Collection # 12. Corner Oceanfront condo !,€ 44,5.0 (5)
21,https://www.airbnb.com/rooms/27314098?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Our pride & joy awaits your presence. Take a peak!,€ 16,4.39 (70)
22,https://www.airbnb.com/rooms/53450221?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Cozy Central Waikiki Condo! * 2 Queens,€ 25,4.79 (28)
23,https://www.airbnb.com/rooms/51962027?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Standard Room with King Bed at Waikiki beach,€ 23,4.64 (137)
24,https://www.airbnb.com/rooms/29615156?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Ocean View, Half block To Beach, Modern, Waikiki A",€ 21,4.68 (160)
25,https://www.airbnb.com/rooms/593428445415409020?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,15A | Budget room for 1 in Honolulu!,€ 94,4.69 (16)
26,https://www.airbnb.com/rooms/744376706858931451?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,"Renovated, Kitchen, 1 Bedrm, Sleeper/Sofa, Parking",€ 27,5.0 (4)
27,https://www.airbnb.com/rooms/26457993?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki Luxury Real One Bedroom includes Parking,€ 22,4.82 (100)
28,https://www.airbnb.com/rooms/553911579414261753?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Alluring 1-Bd Paradise in the Heart of Waikiki,€ 18,4.85 (26)
29,https://www.airbnb.com/rooms/746487180114917338?check_in=2023-02-27&check_out=2023-03-09&previous_page_section_name=1000,Waikiki Beach Designer Studio with Amazing Views,€ 22,5.0 (3)
